event_date_id,num_currencies
20230823,1
20230822,2
20230808,1
20230802,1
20230801,3
20230731,1
20230728,2
20230724,2
20230719,3
20230718,5
20230717,3
20230714,2
20230707,2
20230706,3
20230705,2
20230703,1
20230702,1
20230630,2
20230626,1
20230623,1
20230619,1
20230615,2
20230614,1
20230613,1
20230609,1
20230601,1
20230519,1
20230518,1
20230516,1
20230515,1
20230512,1
20230508,1
20230505,1
20230504,2
20230503,1
20230502,1
20230424,1
20230419,1
20230413,1
20230411,1
20230405,2
20230402,1
20230401,1
20230329,1
20230328,1
20230324,3
20230322,1
20230321,2
20230317,1
20230316,1
20230315,1
20230309,1
20230307,2
20230304,1
20230302,3
20230301,4
20230228,1
20230223,2
20230222,1
20230220,1
20230217,1
20230216,3
20230215,1
20230214,1
20230213,1
20230210,2
20230208,1
20230207,2
20230203,2
20230202,3
20230201,3
20230131,2
20230130,2
20230118,1
20230117,1
20230116,2
20230113,1
20230112,3
20230110,1
20230105,2
20230103,1
20221230,1
20221227,2
20221221,1
20221214,1
20221213,1
20221209,1
20221208,1
20221207,1
20221206,2
20221205,1
20221129,1
20221128,2
20221122,1
20221117,1
20221110,1
20221109,1
20221108,1
20221107,1
20221105,1
20221104,2
20221103,2
20221102,1
20221101,1
20221028,1
20221025,1
20221024,1
20221013,1
20221012,1
20221011,1
20221010,1
20221007,1
20221006,1
20221005,2
20221004,1
20220926,1
20220923,2
20220922,1
20220921,1
20220920,1
20220919,1
20220916,1
20220913,1
20220911,1
20220909,1
20220906,1
20220902,2
20220901,4
20220826,2
20220825,3
20220824,1
20220823,1
20220822,2
20220819,2
20220816,1
20220815,1
20220811,2
20220810,3
20220809,2
20220808,1
20220805,1
20220803,1
20220801,1
20220726,1
20220725,1
20220722,1
20220721,1
20220715,1
20220714,1
20220713,1
20220712,1
20220711,1
20220706,2
20220705,2
20220704,1
20220624,3
20220623,1
20220621,2
20220617,1
20220616,1
20220614,1
20220613,1
20220610,1
20220609,3
20220608,3
20220607,2
20220603,1
20220602,4
20220601,5
20220531,2
20220530,3
20220527,2
20220524,1
20220520,2
20220519,4
20220518,1
20220517,1
20220516,1
20220513,1
20220512,1
20220511,2
20220510,1
20220509,1
20220506,2
20220505,2
20220503,1
20220428,1
20220426,2
20220425,2
20220421,2
20220414,1
20220411,1
20220404,1
20220328,2
20220325,5
20220323,2
20220322,1
20220319,1
20220318,2
20220317,2
20220316,1
20220315,1
20220314,2
20220311,2
20220310,2
20220309,2
20220308,2
20220307,2
20220305,1
20220304,3
20220303,3
20220302,2
20220301,1
20220228,1
20220225,1
20220224,4
20220223,3
20220222,5
20220221,3
20220218,5
20220217,2
20220216,1
20220215,3
20220214,1
20220211,2
20220209,2
20220208,3
20220207,2
20220204,1
20220203,1
20220202,1
20220131,1
20220128,1
20220127,1
20220126,2
20220121,1
20220120,2
20220118,1
20220107,1
20220106,1
20220105,1
20211230,3
20211229,1
20211220,2
20211216,3
20211215,2
20211214,1
20211213,2
20211210,1
20211209,1
20211207,4
20211206,1
20211202,3
20211201,3
20211129,1
20211126,2
20211125,2
20211124,1
20211123,1
20211122,1
20211119,1
20211118,1
20211115,1
20211112,2
20211111,4
20211110,1
20211108,1
20211105,1
20211104,1
20211026,1
20211021,1
20211020,1
20211019,2
20211015,1
20211013,1
20211012,1
20211008,1
20211006,1
20211005,1
20210929,1
20210928,1
20210924,1
20210923,1
20210921,2
20210920,1
20210917,1
20210916,2
20210915,1
20210914,2
20210913,1
20210910,1
20210908,1
20210907,1
20210906,1
20210903,1
20210902,2
20210901,2
20210831,5
20210830,6
20210829,1
20210827,1
20210826,5
20210825,2
20210824,5
20210820,2
20210819,5
20210818,2
20210817,4
20210816,3
20210813,1
20210812,1
20210811,2
20210810,1
20210809,1
20210803,2
20210731,1
20210730,2
20210729,1
20210728,2
20210727,11
20210726,1
20210723,2
20210721,4
20210720,5
20210719,3
20210716,1
20210715,3
20210714,3
20210713,4
20210712,2
20210709,1
20210708,1
20210707,2
20210706,2
20210705,1
20210704,1
20210702,2
20210701,3
20210630,1
20210629,1
20210625,1
20210623,1
20210621,1
20210618,1
20210617,1
20210616,2
20210615,1
20210614,2
20210611,1
20210610,1
20210609,2
20210608,2
20210607,3
20210606,2
20210605,1
20210604,2
20210603,1
20210602,3
20210601,1
20210528,1
20210527,3
20210526,2
20210525,3
20210524,1
20210521,2
20210520,1
20210519,1
20210518,6
20210517,2
20210514,1
20210512,1
20210511,2
20210510,2
20210508,1
20210507,2
20210506,1
20210503,1
20210427,1
20210426,4
20210425,1
20210423,2
20210422,1
20210421,3
20210420,5
20210419,2
20210417,1
20210416,3
20210415,2
20210414,2
20210412,5
20210411,1
20210410,1
20210409,1
20210408,1
20210407,1
20210406,3
20210405,2
20210402,1
20210401,1
20210331,3
20210330,2
20210329,3
20210326,1
20210325,3
20210324,1
20210322,1
20210320,1
20210319,2
20210318,3
20210317,3
20210316,3
20210312,1
20210311,4
20210310,3
20210309,2
20210306,1
20210305,2
20210304,1
20210303,1
20210302,1
20210301,1
20210226,4
20210225,3
20210224,3
20210223,2
20210222,1
20210219,3
20210218,1
20210217,1
20210216,2
20210215,1
20210213,1
20210212,1
20210210,3
20210209,4
20210208,1
20210206,1
20210203,1
20210129,2
20210126,1
20210125,2
20210121,2
20210120,1
20210119,1
20210118,2
20210116,2
20210115,3
20210114,1
20210113,2
20210112,4
20210107,1
20210106,2
20210105,1
20210104,3
20201222,1
20201218,2
20201217,2
20201216,2
20201214,2
20201210,4
20201209,2
20201208,3
20201207,1
20201204,12
20201203,3
20201202,2
20201130,5
20201128,2
20201127,6
20201125,2
20201124,1
20201120,1
20201117,1
20201113,2
20201112,3
20201111,2
20201110,2
20201109,2
20201105,1
20201104,2
20201101,1
20201030,1
20201028,2
20201027,1
20201026,2
20201023,1
20201022,1
20201021,1
20201020,2
20201019,1
20201016,1
20201015,2
20201013,1
20201012,1
20201011,1
20201009,1
20201008,1
20201007,1
20201005,1
20201004,1
20201003,1
20201002,1
20200930,2
20200929,2
20200928,1
20200926,1
20200925,1
20200924,3
20200923,1
20200922,2
20200921,1
20200918,1
20200914,1
20200911,1
20200910,2
20200909,2
20200908,3
20200907,3
20200905,1
20200904,1
20200903,2
20200902,1
20200901,1
20200831,1
20200827,2
20200823,2
20200820,4
20200813,1
20200810,1
20200807,1
20200805,3
20200727,1
20200725,1
20200724,1
20200723,2
20200722,2
20200717,1
20200714,1
20200710,1
20200709,1
20200708,3
20200707,1
20200704,1
20200703,1
20200701,2
20200630,1
20200629,1
20200626,1
20200625,2
20200624,1
20200623,1
20200622,1
20200620,1
20200619,1
20200618,1
20200617,2
20200616,3
20200614,1
20200612,1
20200611,1
20200610,2
20200609,1
20200608,1
20200605,1
20200603,1
20200602,1
20200530,1
20200529,1
20200528,1
20200527,1
20200526,1
20200525,1
20200524,1
20200523,1
20200522,1
20200521,1
20200520,1
20200519,1
20200518,1
20200517,1
20200516,1
20200515,1
20200514,1
20200513,1
20200512,3
20200508,1
20200507,1
20200506,1
20200505,1
20200430,1
20200429,2
20200428,3
20200427,1
20200423,1
20200422,1
20200421,1
20200420,1
20200417,1
20200416,2
20200415,1
20200414,1
20200413,1
20200412,1
20200409,2
20200408,2
20200407,3
20200406,1
20200404,1
20200403,1
20200402,1
20200401,1
20200331,5
20200330,1
20200327,1
20200325,8
20200324,1
20200323,3
20200321,1
20200320,1
20200319,3
20200318,1
20200317,1
20200314,1
20200313,1
20200312,1
20200311,3
20200310,2
20200309,1
20200306,3
20200305,1
20200304,1
20200226,2
20200225,2
20200224,1
20200223,1
20200219,6
20200218,1
20200214,1
20200213,2
20200212,1
