event_date_id,total_amount,currency
20230821,0.2,matic
20221126,364.79257100000018,yfi
20221126,145313.39964999998,uni
20221126,340363.65818470018,sol
20221126,121525609476.86972,shib
20221126,12548686745.628372,mxn
20221126,12215224.552669004,matic
20221126,2882982.9934999994,mana
20221126,2922033.0744823958,link
20221126,78800290.080617011,gala
20221126,7383594.5646509994,ftm
20221126,6671133.1636338923,dydx
20221126,309077.85154120007,dot
20221126,1451922.6999562,dai
20221126,20765260828.61174,cop
20221126,113880.93527190002,comp
20221126,558003444.75202966,brl
20221126,63891.996636,axs
20221126,22859972119.012516,ars
20221126,8748403.338258598,ada
20221126,31147.663596699986,aave
20221125,790.20105299999977,yfi
20221125,445692360.11074615,xrp
20221125,1200.0,usd
20221125,313305.89155999996,uni
20221125,2523849.4149158867,sol
20221125,211889402040.0,shib
20221125,40439110356.03109,mxn
20221125,63817535.051921554,matic
20221125,12844554.551289897,mana
20221125,4032178.766403601,lrc
20221125,11294517.96333142,link
20221125,19107688.834434,gala
20221125,9649653.826456001,enj
20221125,40486649.441344395,dydx
20221125,520364.49780740007,dot
20221125,80424995.920844108,doge
20221125,3817133.3667116994,dai
20221125,224632002918.52969,cop
20221125,283918.12287420005,comp
20221125,1702027811.2312083,brl
20221125,64754.005814400007,axs
20221125,105090879352.25702,ars
20221125,4786497.1477615945,ape
20221125,22033704.056002002,ada
20221125,112973.63445849995,aave
20221124,100000000573.97997,usd
20221124,569260.017317001,sol
20221124,224837874597.66925,shib
20221124,5972451250.2509928,mxn
20221124,26848102.141030964,matic
20221124,858946.45394630008,lrc
20221124,5397330.8660636051,link
20221124,32.10126711,eth
20221124,5025172.6857129931,dydx
20221124,24607.5880032,dot
20221124,1922029.5219079002,dai
20221124,254081732923.78598,cop
20221124,144145.9701498,comp
20221124,3000050.96263202,btc
20221124,719073083.63775086,brl
20221124,60143009135.580696,ars
20221124,1296255.7945960998,ape
20221124,17896053.439420003,ada
20221124,105123.81251089995,aave
20221123,100.0,yfi
20221123,100.0,xrp
20221123,100.0,xlm
20221123,100.0,usdt
20221123,100.0,usd
20221123,100.0,uni
20221123,100.0,tusd
20221123,100.0,trx
20221123,100.0,sushi
20221123,100.0,sol
20221123,100.0,snx
20221123,100.0,shib
20221123,100.0,sand
20221123,100.0,rbtc
20221123,100.0,qnt
20221123,100.0,paxg
20221123,100.0,pagx
20221123,100.0,omg
20221123,145.0,mxn
20221123,100.0,mkr
20221123,100.0,matic
20221123,100.0,mana
20221123,100.0,luna
20221123,100.0,ltc
20221123,100.0,lrc
20221123,1113141.9413919006,link
20221123,100.0,ldo
20221123,100.0,grt
20221123,100.0,gnt
20221123,100.0,gala
20221123,100.0,ftm
20221123,100.005,eth
20221123,100.0,etc
20221123,100.0,enj
20221123,100.0,dydx
20221123,100.0,dot
20221123,100.0,doge
20221123,100.0,dai
20221123,100.0,cusd
20221123,100.0,crv
20221123,2573899666.9747624,cop
20221123,100.0,comp
20221123,100.0,chz
20221123,100.0,btc
20221123,100.0,bsv
20221123,24883232.525686778,brl
20221123,100.0,bch
20221123,100.0,bat
20221123,100.0,bal
20221123,100.0,axs
20221123,100.0,avax
20221123,10559124982.787529,ars
20221123,100.0,ape
20221123,100.0,algo
20221123,100.0,ada
20221123,100.0,aave
20221122,773.0,mxn
