user_id,num_logins
XbUx/GoRl1hJlgnjTbr4vGBEOeC7FFtXbubXVoZW6dg=,290
zluzK+yqGBRvBqwVmKdYJy7GPmlmtNAwF/J1u2yV6JI=,182
ZX1StymZ9Jan0bWr8ln4BSWxSvZgUooDhmI87jEukZs=,129
6ElohUoTbXU40lHmXQD4JAM4CFCpYd2wBjEkh7ihclU=,124
NbuvBkG3RB9i8+oH88FczePaG4e8N2G5qkNGJgqoKto=,112
7YnV6LUhPMJOpUpBcuk+yCj+QF+FjATTZdhl3Pm0z/g=,111
epLLYNd9pN60rXQ2Izsnuu9qlg2G6ucsRwln9uK1zS0=,102
ExOM5aHWkDhs6bFBMz65WPeo272JC/vf9/pxqmUayjo=,99
KZptyWvrnSIsmNw+bOiLQRujctYtv8DjLmP24L55rTg=,99
WlaC+hHNSrD1ukVgt4/ynBjTQzApK5+rB2dezmUimpY=,88
iWse3hYQJee2xiNxdyT91eUZXOuySzNTo7DLOJ1A5/0=,87
VhzGAgygqJ8fEyjaz8TdGDzxl97pGdRBBcIOvm8KrCA=,82
EMJVlojjbixQyzkZxcPhZnPE00p6GoL/VkWnndxrmsI=,78
LimlUyiM2q6h6Vq1tVX/cbOWQj9+3EuZ2o2yz8ow2E8=,78
i8CBmGALnGJArn3ONE+v2O/IWbIwie5/r6Xc7euQwa0=,74
C3fUMVjw3/Gjii0oobqABJadwZ1lRW5LGIm0n12+tug=,73
rAC+0rShg/Yhu4Jk5Re9WsMhwbWJSyNixU8e/dxqX9o=,71
elYByMeFUpOQzPtKtMOMsA7JMmPYbp2dZnBy8m6KQWA=,69
t/n1dXiiz8A2sgLcu1yjP9PIXNmT/H7ko+sdvLK7QGk=,68
HelazqODGJBt35PrT0BpOAB/jfl4jBOqrjWctLvC2gM=,67
X8ftEOughS3pVbI8Rl/tlyJEX2tRZsrdvwf7Q8KDEd0=,66
hbjBMA6wa0pREFsCQD78jusbqdZAMglSBUEkhzaBrzc=,58
kD6+Qj88DasXj9tvSzsUf7BAOh/wCDrqTWWeZjpQz4I=,58
B6Q0TtxaVV5ux2qosxLswQlF6JkJMXa1YEpwmJFd+J4=,57
7IfpL72WG9YPkIrzW2cnGJOxTv/5y94gnajS5cCkV2w=,54
